13.4,22.9,24,22,Albury
7.4,25.7,22,25,Albury
12.9,25.1,26,30,Albury
9.2,32.3,9,16,Albury
17.5,29.7,20,33,Albury
14.6,31.3,24,23,Albury
14.3,26.7,24,19,Albury
7.7,31.9,24,19,Albury
9.7,30.1,17,9,Albury
13.1,30.4,28,27,Albury
13.4,21.7,11,22,Albury
15.9,18.6,6,91,Albury
15.9,21,13,93,Albury
12.6,24.6,28,43,Albury
8.4,27.7,20,32,Albury
9.8,20.9,30,26,Albury
14.1,22.9,22,82,Albury
13.5,22.5,9,65,Albury
11.2,25.6,20,32,Albury
9.8,29.3,17,26,Albury
11.5,33,6,28,Albury
17.1,31.8,9,28,Albury
20.5,30.9,22,24,Albury
15.3,30.9,20,23,Albury
12.6,32.4,13,17,Albury
16.2,33.9,19,19,BadgerysCreek
16.9,33,13,28,BadgerysCreek
20.1,32.7,26,15,BadgerysCreek
19.7,27.2,13,22,BadgerysCreek
12.5,24.2,22,17,BadgerysCreek
12,24.4,17,28,BadgerysCreek
11.3,26.5,31,26,BadgerysCreek
9.6,23.9,11,22,BadgerysCreek
10.5,28.8,7,22,BadgerysCreek
12.3,34.6,17,12,BadgerysCreek
12.9,35.8,26,9,BadgerysCreek
13.7,37.9,26,8,BadgerysCreek
16.1,38.9,13,12,BadgerysCreek
14,28.3,24,15,BadgerysCreek
12.5,28.4,9,16,BadgerysCreek
17,30.8,11,24,BadgerysCreek
16.9,32,17,31,BadgerysCreek
17.3,34.7,15,16,BadgerysCreek
17.2,37.7,17,19,BadgerysCreek
17.4,43,17,8,BadgerysCreek
19.8,32.7,28,28,BadgerysCreek
14.9,26.7,31,20,BadgerysCreek
10.5,28.7,11,16,BadgerysCreek
11.3,32.2,15,17,BadgerysCreek
13.9,38.6,20,21,BadgerysCreek

